Lake ,Pload,TP,Chla
great falls lake,11.36,0.02,4
nickajack res.,41.36,0.051,2.7
watts bar res.,8.3,0.032,5.6
J. precy priest res.,4.75,0.056,10
tims ford res.,1.27,0.021,6.7
south holston res.,1.76,0.014,7.7
woods res.,1.02,0.017,7.4
amistad res.,0.98,0.013,2
bastrop,0.27,0.022,12.4
belton res.,3.95,0.016,8
brownwood,0.29,0.027,4.9
buchanan,0.98,0.036,8.6
calaveras,0.76,0.038,22.5
canyon,0.15,0.01,2.5
lake colorado city,0.21,0.042,12.7
lake corpus christi,2.4,0.113,19.8
lake diversion,0.33,0.025,15.9
eagle mountian,1.51,0.024,5.7
fort phantom hill,0.37,0.06,6.3
lewisville,1.25,0.045,14.2
kemp,0.2,0.023,10.2
houston,5.99,0.097,16.6
lake o'the pines,0.95,0.031,12.9
lavon,1.03,0.063,5.4
livingston res.,6.43,0.196,16.1
lyndon b. johnson,1.39,0.042,8.1
medina,0.13,0.01,12.9
meredith,6.41,0.021,3
palestine res.,0.67,0.031,10.6
possum kingdom res.,2.7,0.023,9.5
o.c.fisher,0.06,0.098,24.7
sam rayburn res.,0.3,0.029,6.3
e.v.spence res.,0.55,0.036,11.8
summerville,0.54,0.053,24.5
stamford,1.44,0.073,18.5
stillhouse hollow res.,0.37,0.018,3.9
tawakoni,0.91,0.046,18.2
texoma,4.1,0.042,12.5
lake travis,0.64,0.018,5.6
twin buttes res.,0.04,0.029,8.7
white river res.,0.06,0.02,4.3
whitney,1.24,0.028,6.9
bear lake,0.09,0.011,0.9
deer creek res.,2.47,0.038,9.1
echo res.,2.5,0.047,7
fish,0.05,0.023,12.5
joes valley res.,0.7,0.012,2.5
minersville res. ,1.45,0.192,33.6
moon lake,0.52,0.008,2.7
otter creek res.,0.63,0.067,11.8
panguitch,0.36,0.071,46
pelican,0.13,0.044,6.3
piute res.,2.03,0.047,25.2
sevier bridge res.,0.75,0.026,18.2
starvation res.,2.7,0.016,5.7
tropic res.,0.4,0.021,7.2
utah lake,0.51,0.132,72
willard res.,0.21,0.044,7.6
champlain,0.93,0.018,11.1
clyde,8.32,0.021,7.5
harriman,0.88,0.009,1.8
lamoille,25.21,0.018,3.5
memphremagog,0.5,0.021,14
arrowhead moutain,11.26,0.015,8.5
waterbury,1.34,0.007,5.2
claytor,10.06,0.031,5.6
john w flannagan res.,2.47,0.011,6
john h kerr res.,4.15,0.044,8.8
occoquan res.,13.62,0.098,12.4
smith mountain res.,2.23,0.016,11.6
chesdin,3.89,0.044,12.6
chickahominy,3.21,0.066,13.6
rivanna res.,11.83,0.079,6.7
keechelus,0.44,0.007,1.4
moses,1.13,0.115,29.1
sammamish,0.31,0.015,7.3
whatcom,0.13,0.009,3.4
bluestone res.,32.05,0.074,14.9
lynn,8.65,0.006,4.7
summersville res.,2.82,0.011,6.2
tygart res.,6.79,0.006,1.2
butternut,0.64,0.073,6.8
delavan,1.12,0.141,43.9
green,0.25,0.028,4.8
kegonsa,1.85,0.115,30.9
koshkonong,9.87,0.361,36.1
nagawicka,1.33,0.124,12
poygan,5.55,0.074,19.4
shawano,0.07,0.02,11.9
sinissippi,6.35,0.404,169.3
tainter,20.3,0.111,13.7
townline,1.4,0.078,5.1
wapogasset,0.71,0.043,16.6
wisconsin,15.21,0.058,51.4
wissota,8.87,0.043,5
tichigan,20.51,0.0269,44.7
rock,0.05,0.013,8.1
big eau pleine res.,1.52,0.071,35.5
grand,8.57,0.19,65.3
willow res.,0.47,0.029,9.2
big sandy res.,1.2,0.087,4.4
boulder,0.68,0.008,2.5
boysen res.,3.56,0.037,6.3
flaming gorge res.,1.35,0.014,5.6
fremont lake,0.12,0.006,3.8
glendo res.,3.24,0.045,8.5
keyhole res.,0.46,0.028,7.8
ocean lake,0.26,0.043,7.5
seminoe res.,2.91,0.03,2.5
woodruff narrows res.,6.02,0.069,13
yellowtail res.,20.42,0.026,5.4
Canyon Lake,,0.02,1.82
medina lake,,0.02,1.9
Lake Alan Henry,,0.08,1.94
International Amistad Reservoir,,0.02,1.98
Medina diversion Lake,,0.02,2.12
TP Lake,,0.06,2.36
Lake Daingerfield,,0.06,2.88
Tyler State Park,,0.02,2.9
Lake Striker,,0.04,3.06
Lake Jacksonville,,0.02,3.08
Lake Travis,,0.02,3.34
Stillhouse Hollow Lake,,0.04,3.5
Lake Cisco,,0.04,3.96
Lake Texana,,0.18,4
Lake Hawkins,,0.02,5.32
Pickens Lake,,0.04,5.42
Belton Lake,,0.02,5.54
Brandy Branch Reservoir,,0.02,5.7
Sam Rayburn Reservoir,,0.04,5.88
Lake Nacogdoches,,0.04,5.94
Lake Georgetown,,0.04,6.02
Ray Roberts Lake ,,0.02,6.18
Toledo Bend Reservoir,,0.04,6.4
Moss Lake,,0.02,6.46
Hubbard Creek Reservoir,,0.02,6.54
Oak Creek Reservoir,,0.02,6.58
Mackenzie Reservoir,,0.02,6.76
Bridgeport Reservoir,,0.04,6.78
Lake Kickapoo,,0.08,6.9
Lake Austin,,0.02,7.06
Lake Texoma,,0.04,8.26
Lake Athens,,0.02,8.46
O.H. Ivie Reservoir,,0.02,8.52
Lake Coleman,,0.04,8.56
Lake Brownwood,,0.04,9.12
Lake Bob Sandlin,,0.02,9.76
Lake Graham,,0.04,10.2
Greenbelt Lake,,0.04,10.28
Twin Buttes Reservoir,,0.04,10.3
B A. Steinhagen Lake,,0.06,10.42
Lake Kemp,,0.04,10.6
Lake Amon G. Carter,,0.04,10.78
Lake Buchanan,,0.02,10.82
Possum Kingdom Lake,,0.04,11.04
Lake Crook,,0.16,11.18
Richland-Chambers Reservoir,,0.04,11.7
Lake Tyler,,0.02,11.72
Lake Conroe,,0.06,11.92
Lake Tyler East,,0.02,12.1
Lake Naconiche,,0.02,12.32
North Fork Buffalo Creek Reservoir,,0.12,12.5
Lady bird Lake,,0.06,12.64
Lake Arrowhead,,0.16,12.72
Lake Fork Reservoir,,0.04,12.98
Big Creek Lake,,0.08,13.24
Lake Holbrook,,0.02,13.36
Lake Ratcliff,,0.04,13.78
Lake Lyndon B. Johnson,,0.02,13.88
Cox Lake,,0.26,14.14
Granger Lake,,0.04,14.5
Houston County Lake,,0.04,14.58
Waco Lake,,0.04,14.8
Whitney Lake,,0.02,14.9
Lake Nasworthy,,0.04,15.06
Aquilla Reservoir,,0.04,15.5
Jim L. Chapman Lake,,0.08,15.54
Grapevine Lake,,0.04,15.98
Fort Phantom Hill Reservoir,,0.08,16
Inks Lake,,0.02,16
Marble Falls Lake,,0.06,16.1
Lake Gladewater,,0.04,16.32
Choke Canyon Reservoir,,0.06,16.42
Navarro Mills Lake,,0.06,16.48
Lake Waxahachie,,0.04,16.68
Pat Mayse Lake,,0.04,16.82
Benbrook Lake,,0.04,16.82
Caddo Lake,,0.1,17.12
Lake Gilmer,,0.04,17.16
Diversion Lake,,0.04,17.42
Eagle Mountain Reservoir,,0.06,17.52
Leon Reservoir,,0.04,18.14
Cedar Creek Reservoir,,0.06,18.24
Lake Corpus Christi,,0.22,18.5
Lake meredith,,0.04,18.64
Red Bluff Reservoir ,,0.02,19
Farmers Creek Reservoir (also known as Lake Nocona,,0.04,19.08
Lake Woodlands,,0.92,19.06
Tradinghouse Reservoir,,0.04,19.58
E.V. Spence Reservoir,,0.06,19.82
Lake Iowa Park,,0.12,19.88
Bardwell Reservoir,,0.06,20.02
Lake Pat Cleburne,,0.04,20.3
Martin Creek Reservoir,,0.04,21.16
International Falcon Reservoir,,0.06,21.28
Lake Cypress Springs,,0.04,21.34
Walter E. Long Lake,,0.04,21.44
Lake Arlington,,0.06,22.22
Lake Ray Hubbard ,,0.04,22.68
Lake J.B. Thomas,,0.06,22.98
Lake Worth,,0.06,23.08
Lake Lavon,,0.06,23.22
Lake Livingston,,0.1,23.78
Lake Daniel,,0.12,23.94
Lake Granbury,,0.04,24.32
Lake O' the Pines,,0.04,25.08
Lake Palestine,,0.04,26.1
Lake Bastrop,,0.06,26.7
Lake Sweetwater,,0.06,28.06
Lake Limestone,,0.06,28.84
White River Lake,,0.06,29.62
Palo Duro Reservoir,,0.3,30.52
Lake Weatherford,,0.04,30.74
Lake Houston,,0.22,30.88
Lake Stamford,,0.08,31.58
Brady Creek Reservoir,,0.06,31.94
Lake Tawakoni,,0.06,32.3
White Rock Lake,,0.08,33
Murvaul Lake,,0.06,34.2
Lake Quitman,,0.08,34.84
Wright Patman Lake,,0.08,36.56
Lake Mexia,,0.16,36.94
Lake Madisonville,,0.12,38.66
Cedar Creek Reservoir/ Lake Fayette,,0.1,39.24
Proctor Lake,,0.12,40.08
Buffalo Springs Lake,,0.08,41
Somerville Lake,,0.1,18
Fairfield Lake,,0.14,42.66
Lake Bonham,,0.08,49.62
New Marlin City Lake,,0.2,50.58
Lake Tanglewood,,1.02,68.88
Springfield Lake,,0.22,71.98
Lake Wichita,,0.3,96.74
O.C.Fisher Lake,,1.52,323.94
Rita Blanca Lake,,3.24,817.02
